,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
5458,A-2828825,Bing,,2,2016-12-06 09:30:50,2016-12-06 15:30:50,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident. Left lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-06 09:53:00,50.0,,61.0,30.13,10.0,WNW,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,360
5463,A-2829824,Bing,,2,2016-12-12 13:15:48,2016-12-12 19:15:48,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-12-12 12:53:00,55.9,,69.0,30.14,10.0,West,8.1,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,360
5466,A-2829930,Bing,,2,2016-12-12 19:00:44,2016-12-13 01:00:44,37.76083,-122.39235,37.7661,-122.39394,0.374,Between Mariposa St and 5th St - Accident.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-12-12 18:53:00,51.1,,80.0,30.11,10.0,ENE,4.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5467,A-2829967,Bing,,2,2016-12-13 05:37:46,2016-12-13 11:37:46,37.76967,-122.41598,37.76969,-122.41621,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-12-13 05:56:00,51.1,,80.0,30.09,10.0,SSW,3.5,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,5,360
5475,A-2830257,Bing,,2,2016-12-14 15:22:48,2016-12-14 21:22:48,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-14 14:53:00,62.1,,78.0,30.0,10.0,SSE,12.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,360
5477,A-2830395,Bing,,2,2016-12-15 07:05:00,2016-12-15 13:05:00,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-15 07:01:00,57.9,,78.0,29.87,9.0,SSE,12.7,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,7,360
5479,A-2830452,Bing,,3,2016-12-15 12:56:43,2016-12-15 18:56:43,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-15 12:56:00,60.1,,86.0,29.75,1.5,South,24.2,0.05,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,360
5480,A-2830530,Bing,,2,2016-12-15 15:43:54,2016-12-15 21:56:45,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-15 15:44:00,59.0,,93.0,29.71,1.8,SSE,17.3,0.38,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,372
5481,A-2830547,Bing,,2,2016-12-15 15:56:45,2016-12-15 22:18:24,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-15 15:53:00,59.0,,93.0,29.71,1.8,SE,15.0,0.46,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,381
5484,A-2830862,Bing,,2,2016-12-16 13:27:46,2016-12-16 19:27:46,37.7889,-122.38756,37.7855,-122.39182,0.331,Between Bay Brg and Fremont St/Harrison St - Accident.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-12-16 13:53:00,55.9,,57.0,29.93,10.0,West,25.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,360
5485,A-2830883,Bing,,2,2016-12-16 15:23:46,2016-12-16 21:23:46,37.760708,-122.406269,37.76287,-122.40524,0.16,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-12-16 15:53:00,54.0,,59.0,29.97,10.0,West,24.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,360
5489,A-2831378,Bing,,2,2016-12-20 18:38:18,2016-12-21 00:38:18,37.712817,-122.45296,37.712817,-122.45296100000002,0.0,At Sickles Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-20 18:56:00,53.1,,61.0,30.21,10.0,North,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,18,360
5490,A-2831571,Bing,,3,2016-12-21 16:53:05,2016-12-21 22:53:05,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-21 16:53:00,59.0,,48.0,30.03,10.0,NE,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,360
5493,A-2831763,Bing,,2,2016-12-22 14:30:04,2016-12-22 20:30:04,37.7889,-122.38756,37.78743,-122.38939,0.142,At Fremont St/Harrison St - Accident.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-12-22 14:53:00,61.0,,34.0,29.97,10.0,West,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,360
5505,A-2832592,Bing,,3,2016-12-30 03:23:25,2016-12-30 09:23:25,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-12-30 02:53:00,43.0,,93.0,30.09,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3,360
5509,A-2832922,Bing,,2,2017-01-03 13:58:47,2017-01-03 19:58:47,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2017-01-03 14:01:00,53.1,,86.0,29.94,10.0,SE,17.3,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,360
5516,A-2833785,Bing,,2,2017-01-10 05:41:46,2017-01-10 11:41:46,37.807923,-122.367387,37.808807,-122.366439,0.08,Between Treasure Island Rd and Bay Brg - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2017-01-10 05:53:00,55.0,,100.0,29.96,10.0,SSE,13.8,0.02,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,5,360
5520,A-2834194,Bing,,2,2017-01-11 10:38:00,2017-01-11 16:38:00,37.743636,-122.405856,37.744161,-122.40546,0.042,At Army St/Potrero Ave - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-11 10:56:00,54.0,,72.0,29.96,10.0,West,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,360
5523,A-2834737,Bing,,2,2017-01-12 19:25:47,2017-01-13 01:25:47,37.770183,-122.420943,37.770184,-122.42095,0.0,At Market St - Accident.,30.0, Duboce Ave,L,San Francisco,San Francisco,CA,94103-1230,US,US/Pacific,KSFO,2017-01-12 19:02:00,48.9,,80.0,29.99,10.0,North,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5525,A-2834876,Bing,,2,2017-01-13 13:31:54,2017-01-13 19:31:54,37.76942,-122.411975,37.76945,-122.413404,0.078,At I-80/James Lick Skwy - Accident.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2017-01-13 13:56:00,53.1,,59.0,30.17,10.0,East,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,360
5528,A-2835019,Bing,,3,2017-01-13 19:30:27,2017-01-14 01:30:27,37.76967,-122.41598,37.76969,-122.41621,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2017-01-13 19:56:00,50.0,,77.0,30.18,10.0,West,13.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5530,A-2835092,Bing,,2,2017-01-15 20:43:11,2017-01-16 02:43:11,37.80771,-122.36764,37.8089,-122.36634,0.109,Between Treasure Island Rd and Bay Brg - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2017-01-15 20:53:00,46.9,,83.0,30.16,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,360
5534,A-2835555,Bing,,2,2017-01-18 12:54:58,2017-01-18 18:54:58,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident. Left lane blocked.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2017-01-18 12:53:00,53.1,,80.0,29.91,9.0,SSE,27.6,0.04,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,360
5538,A-2835809,Bing,,2,2017-01-19 09:49:10,2017-01-19 15:49:10,37.73137,-122.42359,37.731753000000005,-122.42068799999998,0.161,At Alemany Blvd - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-19 09:56:00,54.0,,75.0,29.9,10.0,SW,17.3,0.0,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,360
5542,A-2835979,Bing,,2,2017-01-20 04:37:51,2017-01-20 10:37:51,37.726040000000005,-122.44624,37.72542,-122.4467,0.05,At Ocean Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-20 04:38:00,48.0,,80.0,29.38,3.0,SW,15.0,0.46,Light Thunderstorms and Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4,360
5544,A-2836615,Bing,,2,2016-10-20 19:45:04,2016-10-21 01:45:04,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-10-20 19:53:00,66.0,,65.0,30.02,10.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,19,360
5545,A-2836616,Bing,,2,2016-10-20 19:55:44,2016-10-21 01:55:44,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-10-20 19:56:00,66.9,,63.0,30.01,10.0,West,13.8,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5548,A-2836801,Bing,,2,2016-10-21 17:29:49,2016-10-21 23:32:33,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-21 17:53:00,66.0,,75.0,29.9,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,362
5549,A-2836802,Bing,,2,2016-10-21 17:50:46,2016-10-21 23:50:46,37.795187,-122.380893,37.799878,-122.375953,0.422,At Bay Brg - Accident.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94111,US,US/Pacific,KOAK,2016-10-21 17:53:00,66.0,,75.0,29.9,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,360
5556,A-2837215,Bing,,2,2016-10-25 14:56:03,2016-10-25 20:56:03,37.76967,-122.41598,37.76969,-122.41621,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,,Central Fwy,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-10-25 14:56:00,70.0,,59.0,30.01,10.0,South,24.2,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,360
5560,A-2838100,Bing,,2,2016-11-02 09:16:53,2016-11-02 15:16:53,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident. Left lane blocked.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-11-02 08:53:00,55.0,,89.0,30.19,10.0,ESE,3.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,360
5561,A-2838225,Bing,,3,2016-11-02 23:08:54,2016-11-03 05:08:54,37.726040000000005,-122.44624,37.72542,-122.4467,0.05,At Ocean Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-11-02 22:56:00,57.9,,72.0,30.18,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23,360
5562,A-2838252,Bing,,2,2016-11-03 07:02:57,2016-11-03 13:02:57,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident. Left lane blocked.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-11-03 06:56:00,55.9,,77.0,30.17,10.0,SE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,7,360
5564,A-2838436,Bing,,2,2016-11-03 19:50:32,2016-11-04 01:50:32,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-11-03 19:53:00,62.1,,65.0,30.09,10.0,East,4.6,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5566,A-2839021,Bing,,3,2016-11-08 00:19:49,2016-11-08 06:19:49,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-08 00:53:00,60.1,,86.0,30.12,10.0,NE,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,360
5572,A-2839386,Bing,,2,2016-11-09 14:49:37,2016-11-09 20:49:37,37.802681,-122.372979,37.803907,-122.371681,0.11,At Bay Brg - Accident.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-09 14:53:00,73.0,,66.0,30.02,10.0,WNW,10.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,360
5576,A-2839695,Bing,,2,2016-11-11 10:25:07,2016-11-11 16:25:07,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-11 10:53:00,68.0,,78.0,30.06,6.0,WNW,4.6,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,360
5581,A-2840379,Bing,,2,2016-11-16 15:03:19,2016-11-16 21:03:19,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-11-16 14:56:00,59.0,,51.0,30.07,10.0,West,24.2,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,360
5582,A-2840493,Bing,,2,2016-11-17 03:55:22,2016-11-17 09:55:22,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-17 03:53:00,46.0,44.8,83.0,30.1,10.0,NE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3,360
5583,A-2840502,Bing,,2,2016-11-17 06:22:24,2016-11-17 12:22:24,37.788705,-122.387777,37.78939,-122.38702,0.063,At Bay Brg - Accident. Right lane blocked.,503.0, The Embarcadero,R,San Francisco,San Francisco,CA,94111-1407,US,US/Pacific,KOAK,2016-11-17 05:53:00,43.0,41.3,86.0,30.11,10.0,East,3.5,,Clear,False,False,False,False,False,False,True,False,False,False,False,False,False,Night,Night,Day,Day,6,360
5584,A-2840905,Bing,,2,2016-11-18 16:49:27,2016-11-18 22:49:27,37.731955,-122.433361,37.73016,-122.4394,0.353,At Monterey Blvd/San Jose Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-11-18 16:56:00,60.1,,55.0,29.95,10.0,SSW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,360
5585,A-2840977,Bing,,2,2016-11-18 19:34:31,2016-11-19 01:34:31,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-11-18 19:56:00,60.1,,41.0,29.95,10.0,SE,10.4,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5586,A-2841050,Bing,,2,2016-11-20 12:28:45,2016-11-20 18:28:45,37.73007,-122.43918,37.73203,-122.43219,0.405,At Monterey Blvd/San Jose Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94131,US,US/Pacific,KSFO,2016-11-20 12:36:00,57.9,,90.0,29.92,10.0,North,8.1,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,360
5589,A-2841334,Bing,,2,2016-11-22 08:27:06,2016-11-22 14:27:06,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident. Right lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-22 08:53:00,53.1,,86.0,30.21,10.0,ESE,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,360
5598,A-2841800,Bing,,2,2016-11-23 19:37:56,2016-11-24 01:37:56,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-23 19:53:00,53.1,,77.0,30.35,10.0,NW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5600,A-2842546,Bing,,2,2016-11-29 19:32:48,2016-11-30 01:32:48,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-29 19:53:00,52.0,,54.0,30.12,10.0,North,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,360
5601,A-2842556,Bing,,2,2016-11-29 21:23:04,2016-11-30 03:23:04,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-11-29 21:53:00,46.9,,71.0,30.13,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,21,360
5608,A-2843530,Bing,,2,2016-09-15 19:30:40,2016-09-16 01:30:40,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-09-15 19:53:00,60.1,,83.0,30.0,10.0,West,9.2,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Day,Day,Day,19,360
5609,A-2843780,Bing,,2,2016-09-23 15:23:08,2016-09-23 21:23:08,37.80771,-122.36764,37.80856,-122.3667,0.078,Between Treasure Island Rd and Bay Brg - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-09-23 14:53:00,73.0,,46.0,30.12,10.0,West,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,360
5611,A-2844134,Bing,,2,2016-09-26 18:25:45,2016-09-27 00:25:45,37.76197,-122.40578,37.765418,-122.40486,0.243,Between Vermont St and I-80 - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-09-26 18:53:00,82.0,,29.0,29.91,10.0,NW,11.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18,360
5614,A-2844316,Bing,,3,2016-09-27 15:01:27,2016-09-27 21:01:27,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-09-27 14:53:00,80.1,,43.0,29.85,10.0,NW,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,360
5619,A-2844532,Bing,,2,2016-09-28 09:53:55,2016-09-28 15:53:55,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident. Right lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-09-28 09:53:00,64.0,,78.0,29.91,10.0,WNW,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9,360
5620,A-2844668,Bing,,2,2016-09-28 17:03:51,2016-09-28 23:03:51,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-09-28 16:53:00,62.1,,78.0,29.89,10.0,WNW,16.1,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,360
5628,A-2845390,Bing,,2,2016-10-03 14:26:38,2016-10-03 20:26:38,37.72536,-122.4465,37.724,-122.44703,0.098,Ramp to Ocean Ave - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-10-03 13:56:00,64.0,,60.0,30.06,10.0,East,10.4,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,360
5634,A-2845954,Bing,,2,2016-10-05 05:18:44,2016-10-05 11:18:44,37.73137,-122.42359,37.7319,-122.41589,0.422,At Alemany Blvd - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-10-05 04:56:00,55.0,,80.0,30.03,10.0,West,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,5,360
5636,A-2846670,Bing,,2,2016-10-07 14:13:31,2016-10-07 20:13:31,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-07 13:53:00,79.0,,35.0,29.95,10.0,WNW,13.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,360
5637,A-2846796,Bing,,2,2016-10-07 19:07:49,2016-10-08 01:07:49,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-07 18:53:00,75.0,,32.0,29.9,10.0,NW,11.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,19,360
5639,A-2846954,Bing,,2,2016-10-10 13:51:25,2016-10-10 19:51:25,37.72362,-122.40134,37.72175,-122.40058,0.136,At Paul Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-10-10 13:56:00,66.0,,60.0,29.96,10.0,NW,17.3,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,360
5645,A-2847683,Bing,,3,2016-10-13 00:15:44,2016-10-13 06:15:44,37.73186,-122.419028,37.7319,-122.41589,0.171,At Alemany Blvd - Accident.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-10-13 00:56:00,57.2,,82.0,30.08,10.0,SE,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,360
5646,A-2847684,Bing,,3,2016-10-13 02:09:26,2016-10-13 08:09:26,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-13 01:53:00,59.0,,83.0,30.1,10.0,West,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2,360
5648,A-2847862,Bing,,2,2016-10-13 16:57:52,2016-10-13 22:57:52,37.74492,-122.40505,37.75251,-122.40279,0.539,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-10-13 16:56:00,71.6,,53.0,,10.0,WSW,10.4,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16,360
5651,A-2848024,Bing,,2,2016-10-14 10:21:48,2016-10-14 16:21:48,37.72135,-122.44822,37.71974,-122.4484,0.1119999999999999,At Geneva Ave - Accident.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-10-14 10:26:00,64.4,,94.0,29.93,1.5,South,15.0,,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10,360
5654,A-2848546,Bing,,2,2016-10-17 17:16:51,2016-10-17 23:16:51,37.80771,-122.36764,37.80811,-122.36719,0.037,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-17 16:53:00,66.9,,61.0,30.04,10.0,West,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17,360
